ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,44851 2 45103 11 45358 13 45613 14 45868 15 46123 16 46379 16 46636 14 46892 13 47149 11 47406 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50024 6 50277 12 50532 13 50787 15 51042 17 51297 18 51552 19 51808 19 52063 20 52319 20 52575 19 52831 19 53088 17 53344 17 53601 15 53857 13 54114 11
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10891 8 11146 10 11400 13 11655 14 11910 15 12165 16 12421 16 12677 15 12932 15 13188 15 13444 14 13700 14 13956 13 14213 11 14470 8 14727 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,30877 5 31132 7 31375 7 31387 9 31629 23 31882 27 32137 28 32392 29 32647 29 32903 29 33158 29 33414 25 33670 23 33926 21 34182 21 34438 19 34694 18 34950 17 35207 15 35464 13 35721 11 35980 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50840 7 51095 9 51349 12 51604 13 51859 14 52115 14 52370 15 52625 15 52881 14 53137 14 53392 14 53647 14 53903 13 54160 11 54416 10 54673 8 54931 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38563 8 38817 10 39071 12 39326 14 39581 15 39837 14 40092 15 40348 15 40604 15 40861 13 41117 13 41373 12 41629 11 41886 9 42143 7 42401 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46713 8 47231 11 47750 12 48269 14 48787 17 49306 22 49825 25 50344 28 50863 28 51382 29 51901 30 52420 31 52939 32 53458 32 53977 33 54496 34 55015 34 55534 34 56053 34 56572 34 57091 34 57610 35 58129 35 58648 36 59167 35 59686 33 60205 33 60724 34 61243 33 61762 33 62282 33 62801 34 63320 33 63839 31 64358 31 64877 31 65396 31 65915 31 66434 32 66953 35 67472 35 67991 35 68510 36 69029 37 69548 37 70067 37 70586 39 71106 39 71625 39 72145 38 72666 39 73186 39 73705 39 74225 37 74745 37 75265 37 75784 37 76304 36 76823 19 76847 2 76852 7 77342 19 77373 4 77861 18 78380 18 78899 17 79418 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,119373 6 119891 7 120410 9 120929 9 121448 9 121967 10 122485 11 123004 11 123523 12 124042 12 124561 12 125080 12 125599 12 126118 12 126637 12 127156 12 127675 12 128195 10 128714 9 129234 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,526 9 1044 12 1562 13 2082 13 2601 14 3122 12 3642 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,23896 8 24411 17 24928 21 25446 23 25963 25 26482 26 27000 27 27518 28 28036 29 28554 30 29072 30 29591 30 30109 31 30627 32 31146 31 31664 32 32183 32 32702 32 33221 31 33740 30 34260 28 34780 27 35300 25 35820 24 36339 23 36859 21 37379 19 37900 16 38420 13 38943 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,81500 3 82015 7 82532 10 83051 10 83570 10 84089 9 84608 9 85129 9 85648 9 86166 10 86686 9 87205 9 87725 7 88245 5 88766 4 89284 7 89802 9 90320 11 90839 12 91358 11 91878 11 92399 10 92918 12 93437 14 93956 16 94475 19 94994 20 95513 20 96033 19 96552 19 97072 18 97592 18 98111 18 98630 18 99150 17 99669 17 100189 17 100709 17 101228 17 101746 19 102266 19 102786 19 103305 19 103825 19 104345 19 104864 20 105385 19 105905 19 106425 20 106946 21 107467 19 107989 17 108510 16 109031 16 109551 16 110071 16 110591 16 111111 16 111631 14 112151 13 112672 12 113193 10 113713 9 114233 8 114752 9 115271 11 115791 11 116311 10 116831 9 117351 8 117871 8 118390 9 118910 10 119429 11 119949 11 120468 11 120988 11 121508 12 122028 12 122547 13 123066 14 123585 16 124105 17 124625 17 125145 17 125665 17 126186 16 126706 15 127226 14 127748 11 128269 9 128791 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118880 8 119398 10 119916 12 120434 14 120953 15 121472 16 121991 16 122510 16 123029 17 123547 18 124066 18 124585 18 125104 19 125623 19 126142 20 126661 20 127180 20 127699 20 128220 18 128740 16 129260 13 129781 10
